TIME,Elapsed time since ignition                       ,s    
Asp1C,Aspirated Photoelectric Smoke Alarm 1. hallway outside remote bedroom,mV   
Asp1D,Aspirated Photoelectric Smoke Alarm 1. hallway outside main bedroom,mV   
Asp1E,Aspirated Photoelectric Smoke Alarm 1. living room,mV   
Pres_1,Sprinkler telltale pressure 1,mV   
Pres_2,Sprinkler telltale pressure 2,mV   
SMG,Smoke Obscuration. closed room,1/m  
SMCO,Smoke Obscuration hallway outside remote bedroom. Near alarm board      ,1/m  
Ion1A,Ionization Smoke Alarm 1. remote bedroom,mV   
Ion1C,Ionization Smoke Alarm 1. hallway outside remote bedroom,mV   
Ion1D,Ionization Smoke Alarm 1. hallway outside main bedroom,mV   
Ion1BE,Ionization Smoke Alarm 1. main bedroom,mV   
DiPho2,Unmodified Photoelectric Smoke Alarm 2,mV   
DiIon2,Unmodified Ionization Smoke Alarm 2,mV   
DiIon4,Unmodified Ionization Smoke Alarm 4,mV   
Load,Mass of burning item                              ,kg   
TCRef,Temperature at data acquisition system            ,C    
